"FL_IDs"	"Drug"	"Type"	"Collapsed_Cells"
"3129"	"AZD-1480$FL3"	"AZD-1480"	"Signature_Correlation"	"CD34|HEPG2|HUVEC|NEU|NPC|NPC.CAS9|NPC.TAK|PC3"
"1186"	"belinostat$FL1"	"belinostat"	"Signature_Correlation"	"A375|A549|HA1E|HCC515|HELA|HEPG2|HME1|HT29|MCF7|PC3|YAPC"
"2154"	"belinostat$FL2"	"belinostat"	"Signature_Correlation"	"ASC|ASC.C|CD34|HUVEC|SKL|SKL.C"
"3130"	"belinostat$FL3"	"belinostat"	"Signature_Correlation"	"NEU|NPC|NPC.CAS9|NPC.TAK"
"2155"	"BRAF$FL1"	"BRAF"	"Signature_Correlation"	"A549.311|HELA.311|PC3.101|YAPC.311"
"3131"	"BRAF$FL2"	"BRAF"	"Signature_Correlation"	"HA1E.101|HA1E.311|MCF7.101|MCF7.311|PC3.311"
"1187"	"BX-795$FL1"	"BX-795"	"Signature_Correlation"	"A375|HA1E|HEPG2|HT29|MCF7|PC3"
"2156"	"BX-795$FL2"	"BX-795"	"Signature_Correlation"	"A549|HCC515|HME1"
"3132"	"BX-795$FL3"	"BX-795"	"Signature_Correlation"	"ASC|ASC.C|CD34|SKL|SKL.C"
"455"	"BX-795$FL4"	"BX-795"	"Signature_Correlation"	"HUVEC|NEU|NPC|NPC.CAS9|NPC.TAK"
"1188"	"CAMK1$FL1"	"CAMK1"	"Signature_Correlation"	"A375.311|A549.311|HA1E.101|HT29.311|YAPC.311"
"2157"	"CAMK1$FL2"	"CAMK1"	"Signature_Correlation"	"HA1E.311|MCF7.101|PC3.311"
"3133"	"CAMK1$FL3"	"CAMK1"	"Signature_Correlation"	"HELA.311|MCF7.311|PC3.101"
"1189"	"CC-401$FL1"	"CC-401"	"Signature_Correlation"	"A375|A549|HCC515|HT29|HUVEC|PC3|YAPC"
"2158"	"CC-401$FL2"	"CC-401"	"Signature_Correlation"	"ASC|ASC.C|HA1E|MCF7|NEU|SKL|SKL.C"
"3134"	"CC-401$FL3"	"CC-401"	"Signature_Correlation"	"CD34|HELA|HEPG2|HME1|NPC|NPC.CAS9|NPC.TAK"
"1190"	"CDH1$FL1"	"CDH1"	"Signature_Correlation"	"A375.311|HELA.311|MCF7.311"
"2159"	"CDH1$FL2"	"CDH1"	"Signature_Correlation"	"A549.311|HA1E.101|HA1E.311|MCF7.101|PC3.101|PC3.311"
"1191"	"CG-930$FL1"	"CG-930"	"Signature_Correlation"	"A375|HA1E|MCF7|NEU"
"2160"	"CG-930$FL2"	"CG-930"	"Signature_Correlation"	"A549|HCC515|HEPG2|HME1|HUVEC|NPC.CAS9|PC3|SKL.C"
"3135"	"CG-930$FL3"	"CG-930"	"Signature_Correlation"	"ASC|ASC.C|CD34|HT29|NPC|NPC.TAK|SKL"
"1192"	"CGK-733$FL1"	"CGK-733"	"Signature_Correlation"	"A375|CD34|HA1E|HT29|HUVEC|MCF7|NEU"
"2161"	"CGK-733$FL2"	"CGK-733"	"Signature_Correlation"	"A549|HCC515|HEPG2|HME1|NPC|NPC.CAS9|NPC.TAK|PC3|SKL.C"
"3136"	"CGK-733$FL3"	"CGK-733"	"Signature_Correlation"	"ASC|ASC.C|SKL"
"3137"	"chelerythrine$FL1"	"chelerythrine"	"Signature_Correlation"	"ASC|ASC.C|CD34|HUVEC|SKL|SKL.C"
"534"	"chelerythrine$FL2"	"chelerythrine"	"Signature_Correlation"	"HCC515|NEU|NPC|NPC.CAS9|NPC.TAK"
"1193"	"CHMP2A$FL1"	"CHMP2A"	"Signature_Correlation"	"A375.311|HA1E.101|HA1E.311|HELA.311|HT29.311|YAPC.311"
"2162"	"CHMP2A$FL2"	"CHMP2A"	"Signature_Correlation"	"A549.311|PC3.101|PC3.311"
"2163"	"CIC$FL1"	"CIC"	"Signature_Correlation"	"A549.311|HELA.311|MCF7.101|MCF7.311"
"3138"	"CIC$FL2"	"CIC"	"Signature_Correlation"	"HA1E.101|HA1E.311|HT29.311"
"1194"	"CRKL$FL1"	"CRKL"	"Signature_Correlation"	"A375.311|PC3.101|PC3.311"
"2164"	"CRKL$FL2"	"CRKL"	"Signature_Correlation"	"A549.311|HA1E.101|HA1E.311|HT29.311|YAPC.311"
"1195"	"CXCR4$FL1"	"CXCR4"	"Signature_Correlation"	"A375.311|PC3.101|PC3.311"
"2165"	"CXCR4$FL2"	"CXCR4"	"Signature_Correlation"	"A549.311|HELA.311|HT29.311|MCF7.101|MCF7.311|YAPC.311"
"1196"	"D-4476$FL1"	"D-4476"	"Signature_Correlation"	"A375|A549|ASC.C|HA1E|HELA|HME1|HUVEC|PC3|SKL|SKL.C"
"2166"	"D-4476$FL2"	"D-4476"	"Signature_Correlation"	"ASC|HCC515|HEPG2|HT29|MCF7|YAPC"
"3139"	"D-4476$FL3"	"D-4476"	"Signature_Correlation"	"CD34|NEU|NPC|NPC.CAS9|NPC.TAK"
"2167"	"dabrafenib$FL1"	"dabrafenib"	"Signature_Correlation"	"A549|ASC|ASC.C|HA1E|HCC515|HEPG2|HME1|HUVEC|PC3|SKL|SKL.C|YAPC"
"3140"	"dabrafenib$FL2"	"dabrafenib"	"Signature_Correlation"	"CD34|HELA|NEU|NPC|NPC.CAS9|NPC.TAK"
"1197"	"daminozide$FL1"	"daminozide"	"Signature_Correlation"	"A375|ASC|HA1E|HCC515|HEPG2|HT29|MCF7|PC3"
"3141"	"daminozide$FL2"	"daminozide"	"Signature_Correlation"	"CD34|NEU|NPC|NPC.CAS9|NPC.TAK"
"1198"	"decitabine$FL1"	"decitabine"	"Signature_Correlation"	"A375|HT29|MCF7|PC3|YAPC"
"2168"	"decitabine$FL2"	"decitabine"	"Signature_Correlation"	"A549|ASC.C|HUVEC"
"535"	"decitabine$FL3"	"decitabine"	"Signature_Correlation"	"HA1E|HCC515|HEPG2|HME1"
"714"	"decitabine$FL4"	"decitabine"	"Signature_Correlation"	"NPC|NPC.CAS9|NPC.TAK"
"1199"	"DIDO1$FL1"	"DIDO1"	"Signature_Correlation"	"A375.311|A549.311|HA1E.101|HA1E.311|HELA.311|HT29.311|YAPC.311"
"2169"	"DIDO1$FL2"	"DIDO1"	"Signature_Correlation"	"MCF7.101|MCF7.311|PC3.101|PC3.311"
"1200"	"ERBB3$FL1"	"ERBB3"	"Signature_Correlation"	"A375.311|HA1E.101|HA1E.311|HELA.311"
"3142"	"ERBB3$FL2"	"ERBB3"	"Signature_Correlation"	"HT29.311|PC3.101|PC3.311"
"1201"	"ERG$FL1"	"ERG"	"Signature_Correlation"	"A375.311|HA1E.101|HA1E.311|PC3.101"
"2170"	"ERG$FL2"	"ERG"	"Signature_Correlation"	"A549.311|MCF7.101|PC3.311|YAPC.311"
"1202"	"FN1$FL1"	"FN1"	"Signature_Correlation"	"A375.311|HT29.311|MCF7.101|YAPC.311"
"2171"	"FN1$FL2"	"FN1"	"Signature_Correlation"	"A549.311|MCF7.311|PC3.311"
"3143"	"FN1$FL3"	"FN1"	"Signature_Correlation"	"HA1E.101|HA1E.311|HELA.311|PC3.101"
"1203"	"garcinol$FL1"	"garcinol"	"Signature_Correlation"	"A375|HT29|MCF7"
"2172"	"garcinol$FL2"	"garcinol"	"Signature_Correlation"	"A549|HCC515|HME1"
"3144"	"garcinol$FL3"	"garcinol"	"Signature_Correlation"	"ASC|ASC.C|SKL.C"
"456"	"garcinol$FL4"	"garcinol"	"Signature_Correlation"	"CD34|HUVEC|NEU"
"536"	"garcinol$FL5"	"garcinol"	"Signature_Correlation"	"HA1E|NPC|NPC.CAS9|NPC.TAK|SKL"
"2173"	"GDC-0879$FL1"	"GDC-0879"	"Signature_Correlation"	"A549|HA1E|HCC515|MCF7"
"3145"	"GDC-0879$FL2"	"GDC-0879"	"Signature_Correlation"	"ASC|ASC.C|CD34|HEPG2|HME1|HUVEC|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C"
"2174"	"geldanamycin$FL1"	"geldanamycin"	"Signature_Correlation"	"A549|HCC515|PC3"
"3146"	"geldanamycin$FL2"	"geldanamycin"	"Signature_Correlation"	"BT20|HA1E|HS578T|MCF7|MDAMB231"
"537"	"geldanamycin$FL3"	"geldanamycin"	"Signature_Correlation"	"HME1|HT29|MCF10A|SKBR3"
"1204"	"GNF-2$FL1"	"GNF-2"	"Signature_Correlation"	"A375|CD34|HA1E|HT29|HUVEC|PC3"
"2175"	"GNF-2$FL2"	"GNF-2"	"Signature_Correlation"	"A549|ASC|ASC.C|SKL|SKL.C"
"3147"	"GNF-2$FL3"	"GNF-2"	"Signature_Correlation"	"HCC515|HEPG2|MCF7"
"457"	"GNF-2$FL4"	"GNF-2"	"Signature_Correlation"	"HME1|NEU|NPC|NPC.CAS9|NPC.TAK"
"1205"	"GSK-2334470$FL1"	"GSK-2334470"	"Signature_Correlation"	"A375|A549|HA1E|HME1|MCF7"
"2176"	"GSK-2334470$FL2"	"GSK-2334470"	"Signature_Correlation"	"ASC|ASC.C|SKL|SKL.C"
"458"	"GSK-2334470$FL3"	"GSK-2334470"	"Signature_Correlation"	"HCC515|HEPG2|HT29|PC3"
"621"	"GSK-2334470$FL4"	"GSK-2334470"	"Signature_Correlation"	"NPC|NPC.CAS9|NPC.TAK"
"1206"	"GSK-429286A$FL1"	"GSK-429286A"	"Signature_Correlation"	"A375|HA1E|HEPG2|HT29|MCF7|PC3"
"2177"	"GSK-429286A$FL2"	"GSK-429286A"	"Signature_Correlation"	"A549|ASC.C|HCC515|SKL|SKL.C"
"538"	"GSK-429286A$FL3"	"GSK-429286A"	"Signature_Correlation"	"NEU|NPC|NPC.CAS9|NPC.TAK"
"1207"	"GSK-J2$FL1"	"GSK-J2"	"Signature_Correlation"	"A375|ASC|CD34"
"2178"	"GSK-J2$FL2"	"GSK-J2"	"Signature_Correlation"	"A549|HUVEC|SKL|SKL.C"
"3148"	"GSK-J2$FL3"	"GSK-J2"	"Signature_Correlation"	"ASC.C|HME1|NPC|NPC.CAS9|NPC.TAK"
"539"	"GSK-J2$FL4"	"GSK-J2"	"Signature_Correlation"	"HCC515|HEPG2|HT29|MCF7|PC3"
"1208"	"GW-5074$FL1"	"GW-5074"	"Signature_Correlation"	"A375|ASC.C|HCC515"
"2179"	"GW-5074$FL2"	"GW-5074"	"Signature_Correlation"	"A549|ASC|NPC|NPC.CAS9|SKL"
"459"	"GW-5074$FL3"	"GW-5074"	"Signature_Correlation"	"HA1E|HT29|NEU"
"540"	"GW-5074$FL4"	"GW-5074"	"Signature_Correlation"	"HEPG2|HUVEC|MCF7|PC3"
"1209"	"HDAC1$FL1"	"HDAC1"	"Signature_Correlation"	"A375.311|HELA.311|YAPC.311"
"3149"	"HDAC1$FL2"	"HDAC1"	"Signature_Correlation"	"HA1E.101|PC3.101|PC3.311"
"460"	"HDAC1$FL3"	"HDAC1"	"Signature_Correlation"	"HA1E.311|MCF7.101|MCF7.311"
"1210"	"HDAC3$FL1"	"HDAC3"	"Signature_Correlation"	"A375.311|HA1E.101|HA1E.311|HELA.311|HT29.311"
"1211"	"HMN-214$FL1"	"HMN-214"	"Signature_Correlation"	"A375|HA1E|HCC515|HELA|HEPG2|HT29|MCF7|PC3|YAPC"
"2180"	"HMN-214$FL2"	"HMN-214"	"Signature_Correlation"	"A549|HUVEC|NPC|NPC.CAS9|NPC.TAK"
"1212"	"IGF2BP2$FL1"	"IGF2BP2"	"Signature_Correlation"	"A375.311|A549.311|PC3.311"
"2181"	"IGF2BP2$FL2"	"IGF2BP2"	"Signature_Correlation"	"HA1E.101|HA1E.311|MCF7.101"
"3150"	"IGF2BP2$FL3"	"IGF2BP2"	"Signature_Correlation"	"HELA.311|HT29.311|MCF7.311|PC3.101|YAPC.311"
"1213"	"ischemin$FL1"	"ischemin"	"Signature_Correlation"	"A375|ASC|HA1E|HEPG2|HT29|MCF7|PC3|SKL"
"2182"	"ischemin$FL2"	"ischemin"	"Signature_Correlation"	"A549|HCC515|HME1|HUVEC|NEU"
"3151"	"ischemin$FL3"	"ischemin"	"Signature_Correlation"	"ASC.C|CD34|NPC|NPC.CAS9|NPC.TAK|SKL.C"
"1214"	"JNJ-38877605$FL1"	"JNJ-38877605"	"Signature_Correlation"	"A375|A549|HELA|HUVEC|MCF7|PC3|YAPC"
"2183"	"JNJ-38877605$FL2"	"JNJ-38877605"	"Signature_Correlation"	"ASC|HCC515|HEPG2|NEU|SKL|SKL.C"
"461"	"JNJ-38877605$FL3"	"JNJ-38877605"	"Signature_Correlation"	"CD34|HA1E|HME1"
"541"	"JNJ-38877605$FL4"	"JNJ-38877605"	"Signature_Correlation"	"NPC|NPC.CAS9|NPC.TAK"
"1215"	"JNK-IN-5A$FL1"	"JNK-IN-5A"	"Signature_Correlation"	"A375|A549|HME1|HT29|MCF7|PC3"
"3152"	"JNK-IN-5A$FL2"	"JNK-IN-5A"	"Signature_Correlation"	"ASC.C|HCC515|NEU|SKL"
"462"	"JNK-IN-5A$FL3"	"JNK-IN-5A"	"Signature_Correlation"	"CD34|HA1E|HEPG2|HUVEC"
"542"	"JNK-IN-5A$FL4"	"JNK-IN-5A"	"Signature_Correlation"	"NPC|NPC.CAS9|NPC.TAK"
"1216"	"JUN$FL1"	"JUN"	"Signature_Correlation"	"A375.311|MCF7.101|MCF7.311|PC3.101|PC3.311"
"1217"	"JWE-035$FL1"	"JWE-035"	"Signature_Correlation"	"A375|A549|HCC515|HT29|MCF7"
"3153"	"JWE-035$FL2"	"JWE-035"	"Signature_Correlation"	"ASC.C|CD34|SKL.C"
"622"	"JWE-035$FL3"	"JWE-035"	"Signature_Correlation"	"NPC|NPC.CAS9|NPC.TAK"
"1218"	"KI-20227$FL1"	"KI-20227"	"Signature_Correlation"	"A375|HCC515|HEPG2|HT29"
"2184"	"KI-20227$FL2"	"KI-20227"	"Signature_Correlation"	"A549|HA1E|HME1|MCF7|PC3"
"3154"	"KI-20227$FL3"	"KI-20227"	"Signature_Correlation"	"ASC|CD34|HUVEC|NEU"
"463"	"KI-20227$FL4"	"KI-20227"	"Signature_Correlation"	"ASC.C|NPC|NPC.CAS9|NPC.TAK|SKL|SKL.C"
"1219"	"KIN001-055$FL1"	"KIN001-055"	"Signature_Correlation"	"A375|ASC|HA1E|HCC515|HEPG2|HT29|PC3|SKL|SKL.C"
"2185"	"KIN001-055$FL2"	"KIN001-055"	"Signature_Correlation"	"A549|HME1|HUVEC|MCF7"
"3155"	"KIN001-055$FL3"	"KIN001-055"	"Signature_Correlation"	"ASC.C|CD34|NEU|NPC|NPC.CAS9|NPC.TAK"
"1220"	"KIN001-127$FL1"	"KIN001-127"	"Signature_Correlation"	"A375|ASC|HCC515|HEPG2|HT29|SKL|SKL.C"
"2186"	"KIN001-127$FL2"	"KIN001-127"	"Signature_Correlation"	"A549|ASC.C|HME1|MCF7"
"3156"	"KIN001-127$FL3"	"KIN001-127"	"Signature_Correlation"	"CD34|HUVEC|NPC|NPC.CAS9|NPC.TAK"
"464"	"KIN001-127$FL4"	"KIN001-127"	"Signature_Correlation"	"HA1E|NEU|PC3"
"1221"	"KIN001-242$FL1"	"KIN001-242"	"Signature_Correlation"	"A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3"
"2187"	"KIN001-242$FL2"	"KIN001-242"	"Signature_Correlation"	"ASC|ASC.C|SKL|SKL.C"
"3157"	"KIN001-242$FL3"	"KIN001-242"	"Signature_Correlation"	"CD34|HME1|HUVEC|NEU|NPC|NPC.CAS9|NPC.TAK"
"1222"	"KIN001-260$FL1"	"KIN001-260"	"Signature_Correlation"	"A375|ASC|HME1|HUVEC|SKL|SKL.C"
"2188"	"KIN001-260$FL2"	"KIN001-260"	"Signature_Correlation"	"A549|ASC.C|CD34|HCC515|NEU|NPC|NPC.CAS9|NPC.TAK"
"3158"	"KIN001-260$FL3"	"KIN001-260"	"Signature_Correlation"	"HA1E|HEPG2|HT29|MCF7|PC3"
"1223"	"KIN001-269$FL1"	"KIN001-269"	"Signature_Correlation"	"A375|HEPG2|NPC.TAK|SKL"
"2189"	"KIN001-269$FL2"	"KIN001-269"	"Signature_Correlation"	"A549|CD34|HUVEC|NPC"
"3159"	"KIN001-269$FL3"	"KIN001-269"	"Signature_Correlation"	"ASC|HA1E|HT29|MCF7|PC3"
"465"	"KIN001-269$FL4"	"KIN001-269"	"Signature_Correlation"	"ASC.C|HCC515|NEU|NPC.CAS9"
"1224"	"KRAS$FL1"	"KRAS"	"Signature_Correlation"	"A375.311|MCF7.311|PC3.101"
"2190"	"KRAS$FL2"	"KRAS"	"Signature_Correlation"	"A549.311|HELA.311|YAPC.311"
"3160"	"KRAS$FL3"	"KRAS"	"Signature_Correlation"	"HA1E.101|HA1E.311|HT29.311|PC3.311"
"1225"	"LY-2603618$FL1"	"LY-2603618"	"Signature_Correlation"	"A375|HT29|MCF7|PC3"
"2191"	"LY-2603618$FL2"	"LY-2603618"	"Signature_Correlation"	"A549|HEPG2|HUVEC|NPC|NPC.CAS9|NPC.TAK"
"466"	"LY-2603618$FL3"	"LY-2603618"	"Signature_Correlation"	"ASC.C|NEU|SKL|SKL.C"
"543"	"LY-2603618$FL4"	"LY-2603618"	"Signature_Correlation"	"HA1E|HCC515|HME1"
"1226"	"MAPKAPK2$FL1"	"MAPKAPK2"	"Signature_Correlation"	"A375.311|HA1E.101|HA1E.311"
"1227"	"MGCD-265$FL1"	"MGCD-265"	"Signature_Correlation"	"A375|A549|HA1E|HME1|HT29|MCF7"
"2192"	"MGCD-265$FL2"	"MGCD-265"	"Signature_Correlation"	"ASC|HCC515|HEPG2|HUVEC|PC3|SKL|SKL.C"
"3161"	"MGCD-265$FL3"	"MGCD-265"	"Signature_Correlation"	"ASC.C|CD34|NEU|NPC|NPC.CAS9|NPC.TAK"
"1228"	"mitoxantrone$FL1"	"mitoxantrone"	"Signature_Correlation"	"A375|A549|HA1E|HEPG2|JURKAT|LNCAP|MCF10A|MCF7"
"2193"	"mitoxantrone$FL2"	"mitoxantrone"	"Signature_Correlation"	"ASC|ASC.C|SKL.C"
"3162"	"mitoxantrone$FL3"	"mitoxantrone"	"Signature_Correlation"	"BT20|HCC515|HME1|HS578T|HT29|MDAMB231|PC3|SKBR3"
"544"	"mitoxantrone$FL4"	"mitoxantrone"	"Signature_Correlation"	"HUVEC|MNEU.E|NPC|NPC.CAS9|NPC.TAK|SKL"
"1229"	"MLN-8054$FL1"	"MLN-8054"	"Signature_Correlation"	"A375|HA1E|HCC515|HELA|HEPG2|HME1|HT29|MCF7|PC3|YAPC"
"3163"	"MLN-8054$FL2"	"MLN-8054"	"Signature_Correlation"	"ASC|ASC.C|CD34|NEU|NPC|NPC.CAS9|NPC.TAK|SKL|SKL.C"
"1230"	"MTOR$FL1"	"MTOR"	"Signature_Correlation"	"A375.311|HT29.311|PC3.101|PC3.311|YAPC.311"
"2194"	"MTOR$FL2"	"MTOR"	"Signature_Correlation"	"A549.311|HA1E.101|HA1E.311|HELA.311"
"1231"	"MTTP$FL1"	"MTTP"	"Signature_Correlation"	"A375.311|HA1E.311|HELA.311"
"2195"	"MTTP$FL2"	"MTTP"	"Signature_Correlation"	"A549.311|MCF7.101|MCF7.311"
"467"	"MTTP$FL3"	"MTTP"	"Signature_Correlation"	"PC3.101|PC3.311|YAPC.311"
"1232"	"NU-7026$FL1"	"NU-7026"	"Signature_Correlation"	"A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3"
"2196"	"NU-7026$FL2"	"NU-7026"	"Signature_Correlation"	"ASC|HUVEC|SKL"
"3164"	"NU-7026$FL3"	"NU-7026"	"Signature_Correlation"	"ASC.C|CD34|NPC|NPC.CAS9|NPC.TAK|SKL.C"
"1233"	"NVP-BHG712$FL1"	"NVP-BHG712"	"Signature_Correlation"	"A375|ASC|CD34|HEPG2|HT29|PC3"
"2197"	"NVP-BHG712$FL2"	"NVP-BHG712"	"Signature_Correlation"	"A549|ASC.C|HA1E|HCC515|MCF7"
"3165"	"NVP-BHG712$FL3"	"NVP-BHG712"	"Signature_Correlation"	"HME1|HUVEC|SKL|SKL.C"
"468"	"NVP-BHG712$FL4"	"NVP-BHG712"	"Signature_Correlation"	"NEU|NPC|NPC.CAS9|NPC.TAK"
"2198"	"PF-03758309$FL1"	"PF-03758309"	"Signature_Correlation"	"ASC|ASC.C|SKL|SKL.C"
"3166"	"PF-03758309$FL2"	"PF-03758309"	"Signature_Correlation"	"CD34|HEPG2|HME1|HT29|HUVEC|MCF7|PC3|YAPC"
"715"	"PF-03758309$FL3"	"PF-03758309"	"Signature_Correlation"	"NPC|NPC.CAS9|NPC.TAK"
"1234"	"PF-573228$FL1"	"PF-573228"	"Signature_Correlation"	"A375|HA1E|HCC515|HT29|MCF7|PC3"
"3167"	"PF-573228$FL2"	"PF-573228"	"Signature_Correlation"	"ASC|ASC.C|SKL.C"
"469"	"PF-573228$FL3"	"PF-573228"	"Signature_Correlation"	"CD34|NEU|NPC|NPC.CAS9|NPC.TAK"
"1235"	"PFDN2$FL1"	"PFDN2"	"Signature_Correlation"	"A375.311|A549.311|MCF7.101|MCF7.311"
"2199"	"PFDN2$FL2"	"PFDN2"	"Signature_Correlation"	"HA1E.101|HA1E.311|HELA.311"
"3168"	"PFDN2$FL3"	"PFDN2"	"Signature_Correlation"	"HT29.311|PC3.101|PC3.311"
"1236"	"ponatinib$FL1"	"ponatinib"	"Signature_Correlation"	"A375|A549|HA1E|HT29"
"3169"	"ponatinib$FL2"	"ponatinib"	"Signature_Correlation"	"HEPG2|HME1|MCF7"
"470"	"ponatinib$FL3"	"ponatinib"	"Signature_Correlation"	"NPC|NPC.CAS9|NPC.TAK|SKL"
"1237"	"PPP2R2C$FL1"	"PPP2R2C"	"Signature_Correlation"	"A375.311|HELA.311|PC3.311"
"2200"	"PPP2R2C$FL2"	"PPP2R2C"	"Signature_Correlation"	"A549.311|HT29.311|MCF7.101"
"3170"	"PPP2R2C$FL3"	"PPP2R2C"	"Signature_Correlation"	"HA1E.101|HA1E.311|YAPC.311"
"2201"	"pyrazolanthrone$FL1"	"pyrazolanthrone"	"Signature_Correlation"	"A549|HA1E|HME1|HT29|PC3"
"3171"	"pyrazolanthrone$FL2"	"pyrazolanthrone"	"Signature_Correlation"	"ASC|SKL|SKL.C"
"471"	"pyrazolanthrone$FL3"	"pyrazolanthrone"	"Signature_Correlation"	"ASC.C|NPC|NPC.CAS9|NPC.TAK"
"1238"	"QL-XI-92$FL1"	"QL-XI-92"	"Signature_Correlation"	"A375|HCC515|HEPG2|MCF7"
"2202"	"QL-XI-92$FL2"	"QL-XI-92"	"Signature_Correlation"	"A549|CD34|NPC.CAS9|SKL.C"
"3172"	"QL-XI-92$FL3"	"QL-XI-92"	"Signature_Correlation"	"ASC|ASC.C|HME1"
"623"	"QL-XI-92$FL4"	"QL-XI-92"	"Signature_Correlation"	"HUVEC|NEU|NPC|NPC.TAK"
"1239"	"radicicol$FL1"	"radicicol"	"Signature_Correlation"	"A375|A549|BT20|HA1E|HCC515|HEPG2|HS578T|MCF7|MDAMB231|PC3|SKBR3"
"2203"	"radicicol$FL2"	"radicicol"	"Signature_Correlation"	"HME1|LNCAP|MCF10A"
"1240"	"RAF-265$FL1"	"RAF-265"	"Signature_Correlation"	"A375|HT29|PC3"
"3173"	"RAF-265$FL2"	"RAF-265"	"Signature_Correlation"	"ASC|HA1E|HELA|MCF7"
"472"	"RAF-265$FL3"	"RAF-265"	"Signature_Correlation"	"ASC.C|SKL|SKL.C"
"624"	"RAF-265$FL4"	"RAF-265"	"Signature_Correlation"	"HEPG2|HME1|HUVEC|YAPC"
"716"	"RAF-265$FL5"	"RAF-265"	"Signature_Correlation"	"NPC|NPC.CAS9|NPC.TAK"
"1241"	"regorafenib$FL1"	"regorafenib"	"Signature_Correlation"	"A375|HA1E|HEPG2|HME1|HT29"
"2204"	"regorafenib$FL2"	"regorafenib"	"Signature_Correlation"	"A549|HELA|MCF7|PC3|YAPC"
"625"	"regorafenib$FL3"	"regorafenib"	"Signature_Correlation"	"NPC|NPC.CAS9|NPC.TAK"
"1242"	"resveratrol$FL1"	"resveratrol"	"Signature_Correlation"	"A375|A549|HA1E|HCC515|HELA|HEPG2|HT29|MCF7|PC3"
"2205"	"resveratrol$FL2"	"resveratrol"	"Signature_Correlation"	"ASC|ASC.C|CD34|HME1|SKL.C|YAPC"
"3174"	"resveratrol$FL3"	"resveratrol"	"Signature_Correlation"	"HUVEC|NEU|NPC|NPC.CAS9|NPC.TAK|SKL"
"1243"	"rigosertib$FL1"	"rigosertib"	"Signature_Correlation"	"A375|HA1E|HEPG2|HT29|PC3"
"2206"	"rigosertib$FL2"	"rigosertib"	"Signature_Correlation"	"A549|HME1|HUVEC|MCF7"
"3175"	"rigosertib$FL3"	"rigosertib"	"Signature_Correlation"	"ASC|ASC.C|SKL|SKL.C"
"626"	"rigosertib$FL4"	"rigosertib"	"Signature_Correlation"	"NPC|NPC.CAS9|NPC.TAK"
"2207"	"rondual-kinase-inhibitor$FL1"	"rondual-kinase-inhibitor"	"Signature_Correlation"	"A549|HCC515|HEPG2|HT29|NEU|NPC.CAS9|PC3"
"3176"	"rondual-kinase-inhibitor$FL2"	"rondual-kinase-inhibitor"	"Signature_Correlation"	"ASC|ASC.C|CD34|HME1|HUVEC|MCF7|NPC|NPC.TAK|SKL|SKL.C"
"1244"	"RPS6$FL1"	"RPS6"	"Signature_Correlation"	"A375.311|A549.311|HT29.311|MCF7.101|MCF7.311"
"2208"	"RPS6$FL2"	"RPS6"	"Signature_Correlation"	"HA1E.101|HA1E.311|HELA.311|PC3.101|PC3.311"
"1245"	"SB-203580$FL1"	"SB-203580"	"Signature_Correlation"	"A375|HA1E|HCC515|HEPG2|MCF7|PC3"
"2209"	"SB-203580$FL2"	"SB-203580"	"Signature_Correlation"	"A549|CD34|HT29|HUVEC|NEU|NPC|NPC.CAS9|NPC.TAK"
"3177"	"SB-203580$FL3"	"SB-203580"	"Signature_Correlation"	"ASC|ASC.C|HME1|SKL|SKL.C"
"2210"	"SB-239063$FL1"	"SB-239063"	"Signature_Correlation"	"A549|ASC.C|HME1|HUVEC|SKL|SKL.C"
"3178"	"SB-239063$FL2"	"SB-239063"	"Signature_Correlation"	"ASC|HA1E|MCF7|NEU"
"545"	"SB-239063$FL3"	"SB-239063"	"Signature_Correlation"	"HCC515|HEPG2|HT29|NPC.TAK"
"1246"	"serdemetan$FL1"	"serdemetan"	"Signature_Correlation"	"A375|ASC|ASC.C|HME1|NEU|NPC|NPC.CAS9|NPC.TAK|SKL|SKL.C"
"2211"	"serdemetan$FL2"	"serdemetan"	"Signature_Correlation"	"A549|CD34|HA1E|HT29|HUVEC|MCF7"
"3179"	"serdemetan$FL3"	"serdemetan"	"Signature_Correlation"	"HCC515|HEPG2|PC3"
"1247"	"SGX523$FL1"	"SGX523"	"Signature_Correlation"	"A375|SKL|SKL.C"
"473"	"SGX523$FL2"	"SGX523"	"Signature_Correlation"	"CD34|HME1|HUVEC|MCF7|NPC|NPC.CAS9|NPC.TAK"
"546"	"SGX523$FL3"	"SGX523"	"Signature_Correlation"	"HCC515|HELA|NEU|YAPC"
"1248"	"SMAD2$FL1"	"SMAD2"	"Signature_Correlation"	"A375.311|A549.311|MCF7.101"
"2212"	"SMAD2$FL2"	"SMAD2"	"Signature_Correlation"	"HA1E.101|HA1E.311|HELA.311"
"1249"	"SYK-inhibitor$FL1"	"SYK-inhibitor"	"Signature_Correlation"	"A375|HCC515|MCF7"
"474"	"SYK-inhibitor$FL2"	"SYK-inhibitor"	"Signature_Correlation"	"ASC.C|HME1|SKL|SKL.C"
"547"	"SYK-inhibitor$FL3"	"SYK-inhibitor"	"Signature_Correlation"	"HEPG2|HT29|PC3"
